"ano";"quilometragem";"estado_conservacao";"preco"
2018;70163;"Excelente";40942
2011;33054;"Bom";35118
2017;125919;"Excelente";32407
2005;190377;"Bom";21743
2018;177920;"Regular";22423
2013;170843;"Bom";16610
2007;95412;"Excelente";25000
2010;42868;"Bom";37434
2023;63152;"Bom";33190
2013;193474;"Ruim";11513
2014;107653;"Regular";34896
2021;29904;"Bom";49508
2010;12735;"Ruim";34210
2016;79102;"Bom";38555
2022;107720;"Bom";30027
2007;211408;"Ruim";11604
2008;78711;"Excelente";48205
2007;193085;"Bom";14988
2006;129649;"Excelente";29064
2020;129295;"Bom";28125
2018;18007;"Excelente";60082
2017;138144;"Excelente";40448
2022;184523;"Bom";28791
2010;231246;"Bom";11974
2019;121309;"Bom";25089
2008;10482;"Bom";34850
2006;39602;"Bom";39417
2008;174793;"Regular";11549
2020;225242;"Excelente";15065
2015;100059;"Bom";22129
2005;113868;"Excelente";32714
2014;17546;"Bom";45283
2019;15447;"Regular";32170
2007;12603;"Bom";48533
2024;235143;"Bom";19305
2023;11148;"Regular";42337
2005;73984;"Bom";26412
2017;77337;"Regular";29829
2015;146279;"Excelente";30282
2007;139685;"Bom";32576
2010;237154;"Ruim";10164
2023;79230;"Regular";38162
2012;186852;"Excelente";25198
2017;43543;"Excelente";44909
2023;133455;"Excelente";41390
2016;46473;"Bom";44203
2013;153003;"Excelente";31497
2017;31342;"Regular";37436
2005;79030;"Excelente";29654
2013;239419;"Excelente";10000
2019;204570;"Excelente";27665
2014;140281;"Bom";17646
2009;147796;"Bom";29241
2009;249286;"Bom";13306
2010;70074;"Regular";26406
2007;117312;"Bom";36455
2023;77565;"Excelente";50744
2024;224475;"Bom";20644
2010;177207;"Bom";19452
2015;40312;"Ruim";26262
2010;47083;"Bom";32206
2023;41615;"Bom";61887
2016;191839;"Bom";22819
2018;46879;"Regular";37797
2022;200725;"Excelente";20258
2012;239972;"Regular";10000
2021;45472;"Regular";39624
2012;52452;"Bom";40400
2012;221951;"Bom";13030
2005;191541;"Excelente";19213
2010;93856;"Regular";23409
2013;81424;"Excelente";30240
2009;232298;"Regular";10000
2010;210763;"Excelente";21979
2011;168189;"Excelente";23836
2006;79043;"Excelente";28087
2009;22057;"Bom";51036
2013;207131;"Excelente";18475
2016;191963;"Regular";15570
2020;211006;"Bom";22211
2018;56386;"Bom";45220
2010;169656;"Excelente";25282
2006;84542;"Bom";29397
2012;223357;"Bom";17646
2017;163805;"Excelente";36320
2013;104635;"Excelente";38008
2013;213713;"Regular";13961
2009;115094;"Bom";28154
2009;82526;"Bom";37880
2020;53862;"Ruim";27356
2020;139816;"Bom";31745
2009;229804;"Excelente";11519
2021;19686;"Regular";41569
2011;244164;"Bom";12143
2017;9198;"Excelente";76148
2014;33843;"Regular";23527
2020;12370;"Bom";41794
2009;221306;"Excelente";18449
2020;56490;"Bom";38462
2009;243878;"Ruim";13276
2015;212531;"Excelente";17120
2008;92507;"Bom";35148
2013;47688;"Ruim";23659
2013;115774;"Bom";35563
2024;45581;"Excelente";65191
2012;236295;"Regular";10000
2021;99420;"Regular";28818
2005;18713;"Bom";41536
2013;38510;"Regular";26378
2024;151692;"Ruim";22967
2018;182077;"Excelente";33272
2021;118297;"Ruim";19434
2015;147032;"Excelente";40356
2022;202508;"Ruim";10000
2010;190128;"Excelente";22303
2018;95656;"Bom";29445
2007;47968;"Excelente";44889
2012;98172;"Bom";35850
2019;118552;"Ruim";13548
2007;111106;"Excelente";30912
2011;128416;"Excelente";27866
2023;153060;"Bom";30624
2005;166586;"Bom";18623
2018;156617;"Bom";20471
2017;139114;"Excelente";34099
2022;68035;"Excelente";43525
2024;61835;"Excelente";40815
2010;230361;"Regular";10266
2010;193225;"Excelente";20797
2010;32918;"Excelente";40658
2010;162348;"Bom";21364
2009;97175;"Regular";22977
2006;115937;"Regular";19219
2015;126435;"Regular";20997
2005;87048;"Excelente";24511
2012;166282;"Ruim";13852
2021;196992;"Excelente";24208
2019;218906;"Excelente";19691
2016;240102;"Bom";12624
2012;32339;"Excelente";54187
2020;232651;"Ruim";14172
2018;121108;"Regular";32790
