"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"Jan 2024",46826603.4257888,45959235.4295604,47693971.4220172,45500078.5479327,48153128.3036449
"Feb 2024",46307961.7827265,45195904.1649924,47420019.4004607,44607216.4221089,48008707.1433442
"Mar 2024",47818067.6308758,46591503.1731113,49044632.0886403,45942199.1706678,49693936.0910838
"Apr 2024",46500578.7507844,45147478.5196134,47853678.9819555,44431190.5249263,48569966.9766426
"May 2024",45065278.2116587,43637126.4869559,46493429.9363614,42881108.631493,47249447.7918243
"Jun 2024",44336849.1213865,42877288.7376997,45796409.5050733,42104644.1425162,46569054.1002568
"Jul 2024",44216430.9273239,42727941.9857892,45704919.8688586,41939983.5371213,46492878.3175266
"Aug 2024",45209049.0521924,43693862.8634948,46724235.2408901,42891771.7458689,47526326.358516
"Sep 2024",45945833.2419095,44405966.2608187,47485700.2230003,43590809.9209105,48300856.5629086
"Oct 2024",47110762.9086832,45548044.8234994,48673480.993867,44720791.8397875,49500733.9775789
"Nov 2024",47239151.9295406,45655248.2213144,48823055.6377668,44816780.2462104,49661523.6128708
"Dec 2024",47503024.6577008,45899456.3022973,49106593.0131044,45050578.4917883,49955470.8236134
"Jan 2025",47469546.6078637,45772539.2210997,49166553.9946277,44874197.7752613,50064895.4404661
"Feb 2025",47015243.8147385,45249958.8830689,48780528.7464081,44315473.4882488,49715014.1412282
"Mar 2025",48533742.0709573,46720387.5164971,50347096.6254175,45760455.6004802,51307028.5414345
"Apr 2025",47308857.3158638,45445851.6755565,49171862.956171,44459636.0623705,50158078.569357
"May 2025",46022790.3260208,44121567.6175414,47924013.0345002,43115121.1105212,48930459.5415204
"Jun 2025",45247111.6848178,43319697.7072472,47174525.6623884,42299386.3798808,48194836.9897548
"Jul 2025",45232927.7626435,43281207.2193489,47184648.3059381,42248028.7733322,48217826.7519547
"Aug 2025",46153218.3410792,44178915.7699639,48127520.9121944,43133783.120518,49172653.5616403
"Sep 2025",46823027.8313539,44827724.9858338,48818330.676874,43771475.4626376,49874580.2000702
"Oct 2025",47893046.2790409,45878197.2473588,49907895.310723,44811600.5982312,50974491.9598506
"Nov 2025",47947311.4400694,45914255.047326,49980367.8328129,44838020.003464,51056602.8766749
"Dec 2025",48165945.3975102,46115917.076366,50215973.7186544,45030697.6363151,51301193.1587053
